Sr_No,Case_No,Case_Title,Case_Subject,Author_Judge,Upload_Date,Judgment_Date,Citations,SC_Citations,PDF_URL,Filename,Download_Status,Timestamp
1,C.P.L.A.379-L/2021,"Ch. Bashir Ahmad v. Qamar Aftab, etc",Rent/Rent/Ejectment,Mr. Justice Muhammad Shafi Siddiqui,04-10-2025,18-09-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/c.p._379_l_2021.pdf,C.P.L.A.379-L_2021.pdf,Success,2025-10-05T14:04:03.891441
2,C.P.L.A.954/2022,"Naeem Khan Niazi v. Federal of Pakistan through Secretary, Ministry of Interior, Govt. of Pakistan, Islamabad and another",Service/Promotion,Mr. Justice Syed Mansoor Ali Shah,03-10-2025,30-09-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/c.p._954_2022.pdf,C.P.L.A.954_2022.pdf,Success,2025-10-05T14:04:04.610232
3,C.P.22/2025,"Justice Mohsin Akhtar Kayani, Judge, Islamabad High Court, Islamabad and others v. The President of Pakistan, Pak Secretariat, Islamabad and others",U/A 184(3),Mr. Justice Naeem Akhter Afghan,03-10-2025,03-10-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/const.p._22_2025_3102025.pdf,C.P.22_2025.pdf,Success,2025-10-05T14:04:05.702007
4,C.R.P.312/2024,"Pakistan Muslim League (N) through its President Lahore v. Sunni Ittehad Council through its Chairman, Faisalabad and others",Election-National Assembly/Reserved Seats,(1) Mr. Justice Amin-Ud-Din Khan (2) Mrs. Justice Ayesha A. Malik (3) Mr. Justice Salahuddin Panhwar,02-10-2025,25-08-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/c.r.p._312_2024_2102025.pdf,C.R.P.312_2024.pdf,Success,2025-10-05T14:04:07.144197
5,Crl.P.L.A.243-P/2024,Fayaz Khan v. Mohsin Shah and another,Bail After Arrest,Mr. Justice Muhammad Ali Mazhar,02-10-2025,08-07-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/crl.p._243_p_2024.pdf,Crl.P.L.A.243-P_2024.pdf,Success,2025-10-05T14:04:08.056621
6,C.P.L.A.2975/2024,"Member (Power), WAPDA, Wapda House, Lahore and another v. Sher Bahadur and another",Service/Service,Mr. Justice Syed Hasan Azhar Rizvi,02-10-2025,04-09-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2975_2024.pdf,C.P.L.A.2975_2024.pdf,Success,2025-10-05T14:04:09.015950
7,C.P.L.A.1174/2022,"Shakeel Ahmed Kayani v. The Managing Director/Chief Executive Office, Islamabad and another",Service/Pension,Mr. Justice Syed Mansoor Ali Shah,02-10-2025,17-09-2025,N/A,N/A,https://www.supremecourt.gov.pk/downloads_judgements/c.p._1174_2022.pdf,C.P.L.A.1174_2022.pdf,Success,2025-10-05T14:04:09.883150
8,C.A.13-K/2020,Mst. Addan (decd) thr. her L.Rs and others v. Province of Sindh and others,Declaration/Permanent Injunction,Mr. Justice Aqeel Ahmed Abbasi,01-10-2025,01-10-2025,N/A,2025 SCP 352,https://www.supremecourt.gov.pk/downloads_judgements/c.a._13_k_2020.pdf,C.A.13-K_2020.pdf,Success,2025-10-05T14:04:10.943359
9,C.P.L.A.2735-L/2015,"The Province of Punjab through its Chief Secretary, Government of the Punjab, Lahore, etc v. T & T Employees Ideal Cooperative Housing Society Ltd., Lahore through its President, etc",Writ Petition/Direction,Mr. Justice Aamer Farooq,30-09-2025,25-04-2025,N/A,2025 SCP 351,https://www.supremecourt.gov.pk/downloads_judgements/c.p._2735_l_2015.pdf,C.P.L.A.2735-L_2015.pdf,Success,2025-10-05T14:04:11.801484
10,Crl.A.314-L/2020,Sajjad v. The State,Life Imprisonment/Life Imprisonment,Mr. Justice Irfan Saadat Khan,30-09-2025,15-09-2025,N/A,2025 SCP 350,https://www.supremecourt.gov.pk/downloads_judgements/crl.a._314_l_2020.pdf,Crl.A.314-L_2020.pdf,Success,2025-10-05T14:04:13.254481
